シーン名,話者ID,会話ID,日本語１,日本語２,日本語３,日本語４,日本語５,中学生英語１,中学生英語２,中学生英語３,中学生英語４,中学生英語５,ネイティブ英語１,ネイティブ英語２,ネイティブ英語３,ネイティブ英語４,ネイティブ英語５
宅配便を受け取る,A,3,ここにサインでいいですか？,ここに書けばいい？,ここでOK？,こちらに署名でよろしいですか？,ここでいい？,Do I sign here?,Sign here?,Is here okay?,Do I write here?,Here okay?,Right here?,Just sign here?,Here’s fine?,This spot good?,Here works?
宅配便を受け取る,B,4,はい、ありがとうございます。,はい、助かります。,はい、OKです。,はい、ありがとうございます。,はい、どうも。,"Yes, thank you.","Yes, thanks.","That’s fine, thanks.","Yes, thanks a lot.","Great, thanks.","Perfect, thanks.","Awesome, thank you.","Great, appreciate it.","All set, thanks.","Thanks, that’s perfect."
宅配便を受け取る,A,5,中身確認してもいいですか？,開けてもいい？,中身見ても？,中身を確認しても構いませんか？,ちょっと開けるね。,Can I check inside?,May I open it?,Can I look inside?,Is it okay to open?,Open it now?,Mind if I crack it open?,Okay if I open it now?,Can I check the contents?,Mind if I peek?,Okay to open right away?
宅配便を受け取る,B,6,どうぞ、ご確認ください。,はい、確認どうぞ。,いいですよ。,はい、ご確認ください。,どうぞー。,"Sure, go ahead.","Yes, please do.",Feel free.,That’s fine.,Go ahead.,"Absolutely, go for it.",Be my guest.,"Sure thing, open it.","Of course, go ahead.","No problem, open away."
エレベーターで階を聞く,A,1,何階に行かれますか？,何階ですか？,どの階ですか？,何階へ行かれますか？,何階へ？,Which floor?,What floor?,Which floor are you going to?,What floor do you need?,Floor?,Which floor you heading to?,What floor would you like?,Where to?,Which level?,What floor ya need?
エレベーターで階を聞く,B,2,5階お願いします。,5階でお願いします。,5階です。,5階をお願いします。,5階へ。,"Fifth, please.","Floor five, please.","Five, please.","To five, please.","Five, thanks.","Fifth floor, thanks.",Could you hit five?,Five would be great.,"Five, if you don’t mind.",Mind pressing five?
エレベーターで階を聞く,A,3,押しました。,はい、押しました。,押したよ。,押しましたのでご安心を。,押したよー。,It’s pressed.,Button pressed.,Got it.,Pressed five.,Done.,"All set, five’s lit.",Got five for you.,Hit it.,Five is on.,Button’s lit.
エレベーターで階を聞く,B,4,ありがとうございます。,助かります。,どうもありがとう。,ありがとうございます、助かります。,感謝です。,Thank you.,Thanks a lot.,Much obliged.,Appreciate it.,Thanks.,"Thanks, appreciate it.","Cheers, thanks.",Thank you kindly.,Really appreciate it.,Thanks so much.
エレベーターで階を聞く,A,5,降りる際声かけますね。,着いたら知らせますね。,着いたら言いますね。,到着したらお声かけします。,着いたら言うね。,I’ll let you know when we arrive.,I’ll tell you when it’s five.,I’ll let you know at five.,I’ll notify you.,I’ll say when we get there.,I’ll give you a heads-up at five.,I’ll shout when we hit five.,I’ll call it out at five.,I’ll tell you when we reach five.,I’ll give you a heads up.
エレベーターで階を聞く,B,6,助かります！,ありがたい！,よろしく！,助かります、お願いします！,助かる！,That helps!,Thanks!,Appreciate it!,"Great, thanks!","Awesome, thanks!","Big help, thanks!","You’re a star, thanks!",Much appreciated!,Thank you so much!,"That’s awesome, thanks!"
写真プリント注文,A,1,この写真をL判で10枚お願いします。,Lサイズで10枚プリントお願いします。,この写真10枚Lで。,こちらの写真をL判で10枚お願いします。,L判10枚で。,Could I get ten L-size prints of this photo?,"Ten L prints, please.","Print this photo ten times, L size?",I’d like ten L-size prints.,"Ten L-size copies, please.",Can I have ten L-prints of this?,Could you do ten L-size prints?,I need ten L-size copies of this shot.,Mind printing ten L-size ones?,"Ten L-size, please."
写真プリント注文,B,2,光沢とマット、どちらにしますか？,光沢とマット、どちら？,仕上げは光沢？マット？,光沢仕上げとマット仕上げ、どちらがよろしいですか？,光沢？マット？,Glossy or matte?,Glossy or matte finish?,"Which finish, glossy or matte?",Glossy or matte?,Glossy or matte?,Glossy or matte for the finish?,What finish—glossy or matte?,Do you want glossy or matte?,Glossy or matte coating?,Glossy or matte stock?
写真プリント注文,A,3,光沢でお願いします。,光沢で。,光沢にしてください。,光沢仕上げでお願いします。,光沢で。よろしく。,"Glossy, please.",Glossy.,Make it glossy.,"Glossy finish, please.",Glossy is fine.,"Glossy, thanks.",Glossy works.,"Glossy, thanks.",Glossy’s good.,"Glossy, please."
写真プリント注文,B,4,30分ほどで出来上がります。,30分で仕上がります。,30分くらいでできます。,仕上がりは30分ほどです。,30分でできますよ。,It’ll be ready in about 30 minutes.,Ready in 30 minutes.,About 30 minutes.,It’ll take around 30 minutes.,Ready in half an hour.,Should be ready in thirty.,Give us about half an hour.,Be done in thirty.,Thirty minutes and it’s done.,Half an hour turnaround.
写真プリント注文,A,5,では買い物して戻ります。,じゃあ買い物してくるね。,買い物して戻ります。,では買い物してから戻ってきます。,買い物してくる。,I’ll shop and come back.,I’ll do some shopping then.,I’ll return after shopping.,I’ll shop and be back.,I’ll be back after shopping.,I’ll browse the store and come back.,I’ll swing back after a bit of shopping.,I’ll pop back after shopping.,I’ll come back after a quick shop.,I’ll be back once I shop.
写真プリント注文,B,6,お待ちしています。,お待ちしております。,お帰りをお待ちしています。,お待ちしておりますので。,お待ちしてます！,We’ll be waiting.,We’ll wait for you.,See you then.,We’ll have it ready.,We’ll wait.,We’ll have them ready for you.,See you in a bit.,We’ll be here.,We’ll be ready when you return.,See you soon.
